patch_file,old_file,new_file,patch_hunk_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_loc,new_loc,old_log,new_log,action_type,old_log_file,new_log_file,function,function_loc,edit_words,edit_feature,check,variable,ddg_codes,ddg_locs,cluster
rtorrent-0.1.0_diff_rtorrent-0.1.1,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.1.0/src/display/window_peer_list.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.1.1/src/display/window_peer_list.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_patch_hunk_19.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_hunk_19.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_hunk_19.cpp,71,52,106,88,"m_canvas->print(x, y, ""%i"",
	       itr->get_incoming_index(0));","m_canvas->print(x, y, ""%i"", p.get_incoming_index(0));",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_log_24.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_log_24.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_function_24.cpp,91,"[[u'itr'], [u'p']]",[7555364385196807765],"["" itr get_incoming_queue_size_ret""]","["" itr get_incoming_index_ret"", "" m_canvas print_arg"", "" m_canvas print_arg""]",set([]),set([]),0
rtorrent-0.1.2_diff_rtorrent-0.1.3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.1.2/src/display/window_download_list.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.1.3/src/display/window_download_list.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_patch_hunk_22.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_hunk_22.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_hunk_22.cpp,6,6,49,71,"m_canvas->print(0, pos++, ""%c Torrent: Done %.1f MiB Rate:%5.1f /%5.1f KiB Uploaded: %.1f MiB"",
		      range.first == *m_focus ? '*' : ' ',
		      (double)d.get_bytes_total() / (double)(1 << 20),
		      (double)d.get_rate_up() / 1024.0,
		      (double)d.get_rate_down() / 1024.0,
		      (double)d.get_bytes_up() / (double)(1 << 20));","m_canvas->print(0, pos++, ""%c Torrent: Done %10.1f MiB Rate:%5.1f /%5.1f KiB Uploaded: %.1f MiB"",
		      range.first == *m_focus ? '*' : ' ',
		      (double)d.get_bytes_total() / (double)(1 << 20),
		      (double)d.get_rate_up() / 1024.0,
		      (double)d.get_rate_down() / 1024.0,
		      (double)d.get_bytes_up() / (double)(1 << 20));",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_log_26.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_log_26.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_function_26.cpp,32,"[[u'%'], [u'%10']]",[-4770565820013651387],"["" range first is_open_ret"", "" range first is_done_ret""]","["" d get_bytes_total_ret"", ""double_ret"", "" d get_rate_up_ret"", "" d get_rate_down_ret"", "" d get_bytes_up_ret"", ""double_ret"", "" m_canvas print_arg"", "" utils advance_bidirectional_ret"", null, null, "" m_canvas print_arg"", "" m_canvas print_arg"", "" m_canvas print_arg"", "" m_canvas print_arg""]",set([]),set([]),1
rtorrent-0.1.2_diff_rtorrent-0.1.3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.1.2/src/display/window_download_list.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.1.3/src/display/window_download_list.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_patch_hunk_22.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_hunk_22.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_hunk_22.cpp,13,13,56,78,"m_canvas->print(0, pos++, ""%c Torrent: %.1f / %.1f MiB Rate:%5.1f /%5.1f KiB Uploaded: %.1f MiB"",
		      range.first == *m_focus ? '*' : ' ',
		      (double)d.get_bytes_done() / (double)(1 << 20),
		      (double)d.get_bytes_total() / (double)(1 << 20),
		      (double)d.get_rate_up() / 1024.0,
		      (double)d.get_rate_down() / 1024.0,
		      (double)d.get_bytes_up() / (double)(1 << 20));","m_canvas->print(0, pos++, ""%c Torrent: %6.1f / %6.1f MiB Rate:%5.1f /%5.1f KiB Uploaded: %.1f MiB"",
		      range.first == *m_focus ? '*' : ' ',
		      (double)d.get_bytes_done() / (double)(1 << 20),
		      (double)d.get_bytes_total() / (double)(1 << 20),
		      (double)d.get_rate_up() / 1024.0,
		      (double)d.get_rate_down() / 1024.0,
		      (double)d.get_bytes_up() / (double)(1 << 20));",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_log_27.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_log_27.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_function_27.cpp,39,"[[u'%', u'%'], [u'%6', u'%6']]",[9472047434056942],"["" range first is_open_ret"", "" range first is_done_ret""]","["" d get_bytes_done_ret"", ""double_ret"", "" d get_bytes_total_ret"", ""double_ret"", "" d get_rate_up_ret"", "" d get_rate_down_ret"", "" d get_bytes_up_ret"", ""double_ret"", "" m_canvas print_arg"", "" utils advance_bidirectional_ret"", null, null, "" m_canvas print_arg"", "" m_canvas print_arg"", "" m_canvas print_arg"", "" m_canvas print_arg"", null]",set([]),set([]),2
rtorrent-0.1.3_diff_rtorrent-0.1.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.1.3/src/display/window_download_list.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.1.4/src/display/window_download_list.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_patch_hunk_24.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_hunk_24.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_hunk_24.cpp,10,10,71,76,"m_canvas->print(0, pos++, ""%c Torrent: Done %10.1f MiB Rate:%5.1f /%5.1f KiB Uploaded: %.1f MiB"",
		      range.first == *m_focus ? '*' : ' ',
		      (double)d.get_bytes_total() / (double)(1 << 20),
		      (double)d.get_rate_up() / 1024.0,
		      (double)d.get_rate_down() / 1024.0,
		      (double)d.get_bytes_up() / (double)(1 << 20));","m_canvas->print(0, pos++, ""%c Torrent: Done %10.1f MiB Rate: %5.1f / %5.1f KiB Uploaded: %.1f MiB"",
		      range.first == m_list->get_focus() ? '*' : ' ',
		      (double)d.get_bytes_total() / (double)(1 << 20),
		      (double)d.get_rate_up() / 1024.0,
		      (double)d.get_rate_down() / 1024.0,
		      (double)d.get_bytes_up() / (double)(1 << 20));",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_log_30.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_log_30.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_function_30.cpp,32,"[[u'/%5', u'*m_focus'], [u'%5', u'm_list', u'get_focus', u'/']]",[-18508289909735543560],"["" range first is_open_ret"", "" range first is_done_ret""]","["" d get_bytes_total_ret"", ""double_ret"", "" d get_rate_up_ret"", "" d get_rate_down_ret"", "" d get_bytes_up_ret"", ""double_ret"", "" m_canvas print_arg"", "" rak advance_bidirectional_ret"", null, null, "" m_canvas print_arg"", "" m_canvas print_arg"", "" m_canvas print_arg"", "" m_canvas print_arg""]",set([]),set([]),3
rtorrent-0.1.3_diff_rtorrent-0.1.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.1.3/src/display/window_download_list.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.1.4/src/display/window_download_list.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_patch_hunk_24.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_hunk_24.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_hunk_24.cpp,17,17,78,83,"m_canvas->print(0, pos++, ""%c Torrent: %6.1f / %6.1f MiB Rate:%5.1f /%5.1f KiB Uploaded: %.1f MiB"",
		      range.first == *m_focus ? '*' : ' ',
		      (double)d.get_bytes_done() / (double)(1 << 20),
		      (double)d.get_bytes_total() / (double)(1 << 20),
		      (double)d.get_rate_up() / 1024.0,
		      (double)d.get_rate_down() / 1024.0,
		      (double)d.get_bytes_up() / (double)(1 << 20));","m_canvas->print(0, pos++, ""%c Torrent: %6.1f / %6.1f MiB Rate: %5.1f / %5.1f KiB Uploaded: %.1f MiB"",
		      range.first == m_list->get_focus() ? '*' : ' ',
		      (double)d.get_bytes_done() / (double)(1 << 20),
		      (double)d.get_bytes_total() / (double)(1 << 20),
		      (double)d.get_rate_up() / 1024.0,
		      (double)d.get_rate_down() / 1024.0,
		      (double)d.get_bytes_up() / (double)(1 << 20));",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_log_31.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_log_31.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_function_31.cpp,39,"[[u'/%5', u'*m_focus'], [u'%5', u'm_list', u'get_focus', u'/']]",[-18508289909735543560],"["" range first is_open_ret"", "" range first is_done_ret""]","["" d get_bytes_done_ret"", ""double_ret"", "" d get_bytes_total_ret"", ""double_ret"", "" d get_rate_up_ret"", "" d get_rate_down_ret"", "" d get_bytes_up_ret"", ""double_ret"", "" m_canvas print_arg"", "" rak advance_bidirectional_ret"", null, null, "" m_canvas print_arg"", "" m_canvas print_arg"", "" m_canvas print_arg"", "" m_canvas print_arg"", null]",set([]),set([]),4
rtorrent-0.1.3_diff_rtorrent-0.1.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.1.3/src/display/window_download_statusbar.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.1.4/src/display/window_download_statusbar.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_patch_hunk_25.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_hunk_25.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_hunk_25.cpp,6,6,44,44,"m_canvas->print(0, 0, ""Torrent: %.1f / %.1f MiB Rate:%5.1f /%5.1f KiB Uploaded: %.1f MiB"",
		    (double)m_download->get_download().get_bytes_done() / (double)(1 << 20),
		    (double)m_download->get_download().get_bytes_total() / (double)(1 << 20),
		    (double)m_download->get_download().get_rate_up() / 1024.0,
		    (double)m_download->get_download().get_rate_down() / 1024.0,
		    (double)m_download->get_download().get_bytes_up() / (double)(1 << 20));","m_canvas->print(0, 0, ""Torrent: %.1f / %.1f MiB Rate: %5.1f / %5.1f KiB Uploaded: %.1f MiB"",
		    (double)m_download->get_download().get_bytes_done() / (double)(1 << 20),
		    (double)m_download->get_download().get_bytes_total() / (double)(1 << 20),
		    (double)m_download->get_download().get_rate_up() / 1024.0,
		    (double)m_download->get_download().get_rate_down() / 1024.0,
		    (double)m_download->get_download().get_bytes_up() / (double)(1 << 20));",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_log_33.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_log_33.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_function_33.cpp,7,"[[u'/%5'], [u'%5', u'/']]",[-2410887098958275272],"["" m_download get_download_ret"", ""get_chunks_done_ret"", "" m_download get_download_ret"", ""get_chunks_total_ret"", "" m_download get_download_ret"", ""is_open_ret""]","["" m_download get_download_ret"", ""get_bytes_done_ret"", ""double_ret"", "" m_download get_download_ret"", ""get_bytes_total_ret"", ""double_ret"", "" m_download get_download_ret"", ""get_rate_up_ret"", "" m_download get_download_ret"", ""get_rate_down_ret"", "" m_download get_download_ret"", ""get_bytes_up_ret"", ""double_ret"", null, "" m_canvas print_arg"", "" m_canvas print_arg"", "" m_canvas print_arg"", "" m_canvas print_arg""]",set([]),set([]),81
rtorrent-0.1.3_diff_rtorrent-0.1.4,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.1.3/src/display/window_download_statusbar.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.1.4/src/display/window_download_statusbar.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_patch_hunk_25.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_hunk_25.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_hunk_25.cpp,14,14,52,52,"m_canvas->print(0, 0, ""Torrent: Done %.1f MiB Rate:%5.1f /%5.1f KiB Uploaded: %.1f MiB"",
		    (double)m_download->get_download().get_bytes_total() / (double)(1 << 20),
		    (double)m_download->get_download().get_rate_up() / 1024.0,
		    (double)m_download->get_download().get_rate_down() / 1024.0,
		    (double)m_download->get_download().get_bytes_up() / (double)(1 << 20));","m_canvas->print(0, 0, ""Torrent: Done %.1f MiB Rate: %5.1f / %5.1f KiB Uploaded: %.1f MiB"",
		    (double)m_download->get_download().get_bytes_total() / (double)(1 << 20),
		    (double)m_download->get_download().get_rate_up() / 1024.0,
		    (double)m_download->get_download().get_rate_down() / 1024.0,
		    (double)m_download->get_download().get_bytes_up() / (double)(1 << 20));",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_log_34.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_log_34.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_function_34.cpp,15,"[[u'/%5'], [u'%5', u'/']]",[-2410887098958275272],"["" m_download get_download_ret"", ""get_chunks_done_ret"", "" m_download get_download_ret"", ""get_chunks_total_ret"", "" m_download get_download_ret"", ""is_open_ret""]","["" m_download get_download_ret"", ""get_bytes_total_ret"", ""double_ret"", "" m_download get_download_ret"", ""get_rate_up_ret"", "" m_download get_download_ret"", ""get_rate_down_ret"", "" m_download get_download_ret"", ""get_bytes_up_ret"", ""double_ret"", "" m_canvas print_arg"", "" m_canvas print_arg"", "" m_canvas print_arg"", "" m_canvas print_arg""]",set([]),set([]),82
rtorrent-0.1.4_diff_rtorrent-0.1.5,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.1.4/src/display/window_statusbar.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.1.5/src/display/window_statusbar.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_patch_hunk_31.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_hunk_31.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_hunk_31.cpp,-39,8,-1,46,,"m_canvas->print(0, 0, ""Throttle: off Listen: %s:%i Handshakes: %i"",
		    m_core->get_dns().empty() ? ""<default>"" : m_core->get_dns().c_str(),
		    (int)torrent::get(torrent::LISTEN_PORT),
		    (int)torrent::get(torrent::HANDSHAKES_TOTAL));",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_log_41.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_log_41.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_function_41.cpp,7,"[[], [u'm_canvas', u'print', u'0', u'0', u'Throttle', u'off', u'Listen', u'%s', u'%i', u'Handshakes', u'%i', u'm_core', u'get_dns', u'empty', u'default', u'm_core', u'get_dns', u'c_str', u'int', u'torrent', u'get', u'torrent', u'LISTEN_PORT', u'int', u'torrent', u'get', u'torrent', u'HANDSHAKES_TOTAL']]",[25902394508639515376],"["" torrent get_ret""]","["" m_core get_dns_ret"", ""empty_ret"", "" m_core get_dns_ret"", ""c_str_ret"", "" torrent get_ret"", "" torrent get_ret"", "" m_canvas print_arg"", "" m_canvas print_arg""]",set([]),set([]),83
rtorrent-0.2.1_diff_rtorrent-0.2.2,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.2.1/src/display/window_statusbar.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.2.2/src/display/window_statusbar.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_patch_hunk_34.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_hunk_34.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_hunk_34.cpp,7,-40,46,-1,"m_canvas->print(0, 0, ""Throttle: off Listen: %s:%i Handshakes: %i"",
		    m_core->get_dns().empty() ? ""<default>"" : m_core->get_dns().c_str(),
		    (int)torrent::get(torrent::LISTEN_PORT),
		    (int)torrent::get(torrent::HANDSHAKES_TOTAL));",,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_log_43.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_log_43.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_function_43.cpp,7,"[[u'm_canvas', u'print', u'0', u'0', u'Throttle', u'off', u'Listen', u'%s', u'%i', u'Handshakes', u'%i', u'm_core', u'get_dns', u'empty', u'default', u'm_core', u'get_dns', u'c_str', u'int', u'torrent', u'get', u'torrent', u'LISTEN_PORT', u'int', u'torrent', u'get', u'torrent', u'HANDSHAKES_TOTAL'], []]",[-25902394508639515376],"["" torrent get_ret""]","["" m_core get_dns_ret"", ""empty_ret"", "" m_core get_dns_ret"", ""c_str_ret"", "" torrent get_ret"", "" torrent get_ret"", "" m_canvas print_arg"", "" m_canvas print_arg""]",set([]),set([]),83
rtorrent-0.2.1_diff_rtorrent-0.2.2,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.2.1/src/display/window_statusbar.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.2.2/src/display/window_statusbar.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_patch_hunk_34.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_hunk_34.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_hunk_34.cpp,12,19,51,58,"m_canvas->print(0, 0, ""Throttle: %i Listen: %s:%i Handshakes: %i"",
		    (int)torrent::get(torrent::THROTTLE_ROOT_CONST_RATE) / 1024,
		    m_core->get_dns().empty() ? ""<default>"" : m_core->get_dns().c_str(),
		    (int)torrent::get(torrent::LISTEN_PORT),
		    (int)torrent::get(torrent::HANDSHAKES_TOTAL));","m_canvas->print(0, 0, ""Throttle U/D: %s Listen: %s:%i Handshakes: %i"",
		  buf,
		  m_core->get_dns().empty() ? ""<default>"" : m_core->get_dns().c_str(),
		  (int)torrent::get(torrent::LISTEN_PORT),
		  (int)torrent::get(torrent::HANDSHAKES_TOTAL));",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_old_log_44.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_new_log_44.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_function_44.cpp,12,"[[u'%i', u'THROTTLE_ROOT_CONST_RATE', u'/', u'1024', u'int', u'torrent', u'get', u'torrent'], [u'U/D', u'%s', u'buf']]",[1141319312326348733],"["" torrent get_ret""]","["" torrent get_ret"", "" m_core get_dns_ret"", ""empty_ret"", "" m_core get_dns_ret"", ""c_str_ret"", "" torrent get_ret"", "" torrent get_ret"", "" m_canvas print_arg"", "" m_canvas print_arg"", null]",set([]),set([]),5
