class,check,variable
0,"["" rpc parse_command_file_ret""]","["" std string""]"
1,"["" unlink_ret"", "" rak path_expand_ret"", ""c_str_ret""]","["" std string_ret"", "" rak error_number current_ret"", ""c_str_ret""]"
38,"["" std strlen_arg"", ""execvp_arg""]","[""dup2_arg""]"
2,"[""dup2_arg""]","["" std strlen_ret"", ""dup2_arg"", "" std strlen_arg_ret""]"
3,"[""dup2_arg""]","[""dup2_arg""]"
39,"[""waitpid_arg_ret""]",[null]
4,"["" control view_manager_ret"", ""end_ret"", "" control view_manager_ret""]","["" std string""]"
5,"[""Input"", null]","["" rpc call_command_d_string_ret"", ""current_view_ret"", ""focus_ret""]"
6,"[""stream_ret"", ""fail_ret"", null, ""void""]","[null, ""void"", ""size_t"", ""size_t""]"
7,"[""time_t""]","[""char"", ""char"", null, ""time_t"", null, ""time_t"", null, ""time_t""]"
8,"[""time_t""]","[""char"", ""char""]"
40,"["" d download_ret"", ""is_open_ret""]","[""print_download_percentage_done_arg"", ""print_download_percentage_done_arg""]"
9,"["" d download_ret"", ""is_active_ret""]","[""print_download_percentage_done_arg"", ""print_download_percentage_done_arg""]"
10,"["" d is_done_ret""]","["" d download_ret"", ""file_list_ret"", ""size_bytes_ret"", ""double_ret"", ""print_download_percentage_done_arg"", ""print_download_percentage_done_arg"", null]"
11,"["" d is_done_ret""]","["" d download_ret"", ""bytes_done_ret"", ""double_ret"", "" d download_ret"", ""file_list_ret"", ""size_bytes_ret"", ""double_ret"", ""print_download_percentage_done_arg"", ""print_download_percentage_done_arg"", null, null]"
12,"["" d is_done_ret""]","["" d download_ret"", ""up_rate_ret"", ""rate_ret"", "" d download_ret"", ""down_rate_ret"", ""rate_ret"", "" d download_ret"", ""up_rate_ret"", ""total_ret"", ""print_download_percentage_done_arg"", ""print_download_percentage_done_arg"", null, null, null]"
13,"["" d download_ret"", ""is_active_ret"", "" d is_done_ret""]","[""print_download_percentage_done_arg"", ""print_download_percentage_done_arg""]"
14,"["" d download_ret"", ""is_active_ret"", "" d is_done_ret""]","[""print_download_percentage_done_arg_ret"", ""print_download_percentage_done_arg_ret""]"
15,"["" d download_ret"", ""is_active_ret"", "" d is_done_ret""]","[""print_download_time_left_arg_ret"", ""print_download_time_left_arg_ret""]"
16,"["" d download_ret"", ""is_active_ret"", "" d is_done_ret""]","["" rpc call_command_d_string_ret"", ""empty_ret"", "" rpc call_command_d_value_ret"", "" rpc call_command_d_value_ret"", ""print_download_time_left_arg_ret"", ""print_download_time_left_arg_ret"", null]"
17,"["" d priority_ret""]","["" rpc call_command_d_string_ret"", ""c_str_ret"", ""print_download_time_left_arg_ret"", ""print_download_time_left_arg_ret""]"
18,"["" d priority_ret""]","[""print_download_time_left_arg_ret"", ""print_download_time_left_arg_ret""]"
19,"["" rpc call_command_d_value_ret""]","[""char"", ""char""]"
20,"["" d is_active_ret""]","[""char"", ""char""]"
21,"["" d is_hash_checking_ret""]","["" d download_ret"", ""chunks_hashed_ret"", "" d download_ret"", ""file_list_ret"", ""size_chunks_ret"", ""char"", ""char""]"
22,"["" d tracker_list_ret"", ""is_busy_ret"", "" d tracker_list_ret"", ""focus_ret"", "" d tracker_list_ret"", ""size_ret""]","["" tl get_ret"", "" tl focus_ret"", ""group_ret"", "" tl focus_ret"", "" tl get_ret"", "" tl focus_ret"", ""url_ret"", ""c_str_ret"", ""char"", ""char""]"
23,"["" d message_ret"", ""empty_ret""]","["" d message_ret"", ""c_str_ret"", ""char"", ""char""]"
24,"["" d download_ret""]","[""print_ddhhmm_arg"", ""print_ddhhmm_arg""]"
25,"["" d is_open_ret"", "" d is_done_ret""]","[""char"", ""char""]"
26,"["" d is_open_ret"", "" d is_done_ret""]","["" d download_ret"", ""file_list_ret"", ""completed_chunks_ret"", "" d download_ret"", ""file_list_ret"", ""size_chunks_ret"", ""char"", ""char""]"
27,"["" torrent ClientInfo version_size_ret"", "" clientInfo type_ret""]","["" clientInfo short_description_ret"", "" clientInfo version_ret"", "" clientInfo version_ret"", "" clientInfo version_ret"", "" clientInfo version_ret"", ""char"", ""char""]"
28,"["" torrent ClientInfo version_size_ret"", "" clientInfo type_ret""]","["" clientInfo short_description_ret"", "" clientInfo version_ret"", "" clientInfo version_ret"", "" clientInfo version_ret"", ""char"", ""char""]"
29,"["" torrent ClientInfo version_size_ret"", "" clientInfo type_ret""]","["" clientInfo short_description_ret"", ""char"", ""char""]"
30,"["" torrent up_throttle_ret""]","[""print_address_arg"", ""print_address_arg""]"
31,"["" torrent up_throttle_ret""]","["" torrent up_throttle_ret"", ""print_address_arg"", ""print_address_arg""]"
32,"["" torrent down_throttle_ret""]","[""print_address_arg"", ""print_address_arg""]"
33,"["" torrent down_throttle_ret""]","["" torrent down_throttle_ret"", ""print_address_arg"", ""print_address_arg""]"
34,"["" torrent down_throttle_ret""]","["" torrent up_rate_ret"", ""rate_ret"", "" torrent down_rate_ret"", ""rate_ret"", ""print_address_arg"", ""print_address_arg"", null, null]"
35,"["" torrent down_throttle_ret""]","["" torrent connection_manager_ret"", ""listen_port_ret"", ""print_address_arg"", ""print_address_arg"", null, null]"
36,"["" rak socket_address cast_from_ret"", "" torrent connection_manager_ret"", ""local_address_ret"", ""is_address_any_ret""]","[""print_address_arg"", ""print_address_arg""]"
37,"["" rak socket_address cast_from_ret"", "" torrent connection_manager_ret"", ""local_address_ret"", ""is_address_any_ret""]","[""print_address_arg_ret"", ""print_address_arg_ret""]"
41,"["" rak socket_address cast_from_ret"", "" torrent connection_manager_ret"", ""bind_address_ret"", ""is_address_any_ret""]","[""print_address_arg_ret"", ""print_address_arg_ret""]"
