file,function,loc,log,check,variable
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.7.7/src/command_events.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_repos_function_81.cpp,1,"push_log_std(""Could not read resource file: "" + path)","["" rpc parse_command_file_ret""]","["" std string""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.7.7/src/command_download.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_repos_function_147.cpp,9,"push_log_std(""Could not unlink tied file: "" + std::string(rak::error_number::current().c_str()))","["" unlink_ret"", "" rak path_expand_ret"", ""c_str_ret""]","["" std string_ret"", "" rak error_number current_ret"", ""c_str_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.7.7/src/rpc/exec_file.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_repos_function_263.cpp,7,"write(m_logFd, ""\n---\n"", sizeof(""\n---\n""))","["" std strlen_arg"", ""execvp_arg""]","[""dup2_arg""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.7.7/src/rpc/exec_file.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_repos_function_263.cpp,9,"write(m_logFd, "" "", 1)","["" std strlen_arg"", ""execvp_arg""]","[""dup2_arg""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.7.7/src/rpc/exec_file.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_repos_function_263.cpp,11,"write(m_logFd, *itr, std::strlen(*itr))","[""dup2_arg""]","["" std strlen_ret"", ""dup2_arg"", "" std strlen_arg_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.7.7/src/rpc/exec_file.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_repos_function_263.cpp,14,"write(m_logFd, ""\n---\n"", sizeof(""\n---\n""))","[""dup2_arg""]","[""dup2_arg""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.7.7/src/rpc/exec_file.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_repos_function_263.cpp,49,"write(m_logFd, ""\n--- Success ---\n"", sizeof(""\n--- Success ---\n""))","[""waitpid_arg_ret""]",[null]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.7.7/src/rpc/exec_file.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_repos_function_263.cpp,51,"write(m_logFd, ""\n--- Error ---\n"", sizeof(""\n--- Error ---\n""))","[""waitpid_arg_ret""]",[null]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.7.7/src/ui/element_download_list.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_repos_function_338.cpp,6,"push_log_std(""Could not find view \"""" + name + ""\""."")","["" control view_manager_ret"", ""end_ret"", "" control view_manager_ret""]","["" std string""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/repos/rtorrent-0.7.7/src/ui/download_list.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rtorrent/gumtree/rtorrent_repos_function_350.cpp,30,"push_log_std(""New root directory \"""" + rpc::call_command_d_string(""d.get_directory"", *current_view()->focus()) + ""\"" for torrent."")","[""Input"", null]","["" rpc call_command_d_string_ret"", ""current_view_ret"", ""focus_ret""]"
