patch_file,old_file,new_file,patch_hunk_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_loc,new_loc,old_log,new_log,action_type
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,317,972,599,1234,"sqlite3_mprintf(""%Q, "", p->azColumn[0]);",dlrDocData(readers[0].pReader);,7
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,319,-263,601,-1,"sqlite3_mprintf(""%z%Q, "", zCols, p->azColumn[i]);",,7
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,323,-263,605,-1,"sqlite3_mprintf(
        ""CREATE TABLE x(%s %Q HIDDEN, docid HIDDEN, %Q HIDDEN)"", 
        zCols, p->zName, zLanguageid
    );",,7
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,370,-263,652,-1,"sqlite3_mprintf(""docid INTEGER PRIMARY KEY"");",,7
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,373,-263,655,-1,"sqlite3_mprintf(""%z, 'c%d%q'"", zContentCols, i, z);",,7
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,376,-263,658,-1,"sqlite3_mprintf(""%z, langid"", zContentCols, zLanguageid);",,7
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,431,-263,713,-1,"sqlite3_mprintf(""PRAGMA %Q.page_size"", p->zDb);",,7
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,473,5787,755,6049,"sqlite3_mprintf(""%s"", &zCsr[1]);",sqlite3_value_type(ppArg[1]);,7
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,497,-263,779,-1,"sqlite3_mprintf(""%s%s"", *pz, z);",,7
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,768,-263,1050,-1,"sqlite3_mprintf(""SELECT * FROM %Q.%Q"", zDb, zTbl);",,7
