patch_file,old_file,new_file,patch_hunk_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_loc,new_loc,old_log,new_log,action_type,old_log_file,new_log_file,function,function_loc,edit_words,edit_feature
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,317,972,599,1234,"sqlite3_mprintf(""%Q, "", p->azColumn[0]);",dlrDocData(readers[0].pReader);,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_log_0.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_log_0.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_function_0.cpp,12,"[[u'sqlite3_mprintf', u'%Q', u'p', u'azColumn[0]'], [u'dlrDocData', u'readers[0]', u'pReader']]",[459029213771859542]
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,319,-263,601,-1,"sqlite3_mprintf(""%z%Q, "", zCols, p->azColumn[i]);",,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_log_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_log_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_function_1.cpp,14,"[[u'sqlite3_mprintf', u'%z%Q', u'zCols', u'p', u'azColumn[i]'], []]",[793735050862911794]
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,323,-263,605,-1,"sqlite3_mprintf(
        ""CREATE TABLE x(%s %Q HIDDEN, docid HIDDEN, %Q HIDDEN)"", 
        zCols, p->zName, zLanguageid
    );",,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_log_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_log_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_function_2.cpp,18,"[[u'sqlite3_mprintf', u'CREATE', u'TABLE', u'x', u'%s', u'%Q', u'HIDDEN', u'docid', u'HIDDEN', u'%Q', u'HIDDEN', u'zCols', u'p', u'zName', u'zLanguageid'], []]",[-4430747486241774062]
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,370,-263,652,-1,"sqlite3_mprintf(""docid INTEGER PRIMARY KEY"");",,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_log_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_log_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_function_3.cpp,10,"[[u'sqlite3_mprintf', u'docid', u'INTEGER', u'PRIMARY', u'KEY'], []]",[-7710208056635831941]
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,373,-263,655,-1,"sqlite3_mprintf(""%z, 'c%d%q'"", zContentCols, i, z);",,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_log_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_log_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_function_4.cpp,13,"[[u'sqlite3_mprintf', u'%z', u'c%d%q', u'zContentCols', u'i', u'z'], []]",[-15537107971908276306]
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,376,-263,658,-1,"sqlite3_mprintf(""%z, langid"", zContentCols, zLanguageid);",,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_log_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_log_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_function_5.cpp,16,"[[u'sqlite3_mprintf', u'%z', u'langid', u'zContentCols', u'zLanguageid'], []]",[-9793865674789748289]
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,431,-263,713,-1,"sqlite3_mprintf(""PRAGMA %Q.page_size"", p->zDb);",,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_log_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_log_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_function_6.cpp,6,"[[u'sqlite3_mprintf', u'PRAGMA', u'%Q', u'page_size', u'p', u'zDb'], []]",[11972448509900332939]
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,473,5787,755,6049,"sqlite3_mprintf(""%s"", &zCsr[1]);",sqlite3_value_type(ppArg[1]);,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_log_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_log_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_function_7.cpp,14,"[[u'sqlite3_mprintf', u'%s', u'&zCsr[1]'], [u'sqlite3_value_type', u'ppArg[1]']]",[-9958795107099259553]
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,497,-263,779,-1,"sqlite3_mprintf(""%s%s"", *pz, z);",,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_log_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_log_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_function_8.cpp,13,"[[u'sqlite3_mprintf', u'%s%s', u'*pz', u'z'], []]",[-18975211801477316631]
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,768,-263,1050,-1,"sqlite3_mprintf(""SELECT * FROM %Q.%Q"", zDb, zTbl);",,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_log_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_log_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_function_9.cpp,13,"[[u'sqlite3_mprintf', u'SELECT', u'*', u'FROM', u'%Q', u'%Q', u'zDb', u'zTbl'], []]",[-3714767642115251253]
