class,class_size,patch_file,old_loc,old_log,new_log,function,function_loc,check,variable,edit
457,2,squid-3.1.23_diff_squid-3.2.13,1594,"storeAppendPrintf(sentry, "" htcp-no-purge-clr"");","storeAppendPrintf(sentry, ""%sno-purge-clr"",(doneopts++>0?"","":""=""));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_245.cpp,55,"[""peer"", null, null]","[""StoreEntry""]","[[""htcp"", ""no""], [""%sno"", ""doneopts"", ""0""]]"
458,2,squid-3.3.14_diff_squid-3.4.13,848,"storeAppendPrintf(sentry, ""%s %45.45s-%3s\n"",
                              ""                                                         "", /* blank-space indenting IP list */
                              i->addrs.in_addrs[k].NtoA(buf,MAX_IPSTRLEN),
                              i->addrs.bad_mask[k] ? ""BAD"" : ""OK "");","storeAppendPrintf(sentry, ""%s %45.45s-%3s\n"",
                              ""                                                         "", /* blank-space indenting IP list */
                              i->addrs.in_addrs[k].toStr(buf,MAX_IPSTRLEN),
                              i->addrs.bad_mask[k] ? ""BAD"" : ""OK "");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_862.cpp,44,"[""int""]","[""NtoA_ret"", ""StoreEntry"", ""ipcache_entry"", null, null, ""int"", ""ipcache_entry"", null, null, ""int""]","[[""NtoA""], [""toStr""]]"
459,2,squid-3.3.14_diff_squid-3.4.13,633,"fprintf(stderr, ""Connected to: %s (%s)\n"", hostname, iaddr.NtoA(ipbuf, MAX_IPSTRLEN));","fprintf(stderr, ""Connected to: %s (%s)\n"", hostname, iaddr.toStr(ipbuf, MAX_IPSTRLEN));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_890.cpp,424,"[""bool""]","["" iaddr NtoA_ret"", null, "" iaddr GetHostByName_arg_ret""]","[[""NtoA""], [""toStr""]]"
460,3,squid-3.4.14_diff_squid-3.5.26,-1,,"printf(""%u "", requestData->channelId);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_906.cpp,6,"[""GetHHA1_arg_ret"", null]","[""GetHHA1_arg_ret"", null]","[[], [""printf"", ""%u"", ""requestData"", ""channelId""]]"
461,3,squid-3.4.14_diff_squid-3.5.26,-1,,"printf(""%u "", requestData.channelId);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_907.cpp,7,"[""ParseBuffer_arg_ret"", null]","[""ParseBuffer_arg_ret"", null]","[[], [""printf"", ""%u"", ""requestData"", ""channelId""]]"
462,2,squid-3.4.14_diff_squid-3.5.26,153,"fatalf(""%s_port %s initialization error"", protocol,  s.toUrl(buf, sizeof(buf)));","fatalf(""%s_port %s initialization error"", AnyP::ProtocolType_str[transport.protocol],  s.toUrl(buf, sizeof(buf)));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_954.cpp,48,[null],"["" s toUrl_ret"", null]","[[""protocol""], [""AnyP"", ""ProtocolType_str[transport"", ""protocol]""]]"
463,2,squid-3.4.14_diff_squid-3.5.26,-1,,"createError(""write"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_1035.cpp,53,"[""write_ret"", null]",[],"[[], [""createError"", ""write""]]"
464,2,squid-3.4.14_diff_squid-3.5.26,77,"storeAppendPrintf(&e, ""Maximum entries: %9d\n"", limit);","storeAppendPrintf(&e, ""Maximum entries: %9d\n"", entryLimit);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_1074.cpp,9,[null],"["" stats dump_arg"", "" map entryLimit_ret""]","[[""limit""], [""entryLimit""]]"
466,2,squid-3.5.27_diff_squid-4.0.20,1416,"buf.Printf(""res-body=%d"", (int) httpBuf.contentSize());","buf.appendf(""res-body=%d"", (int) httpBuf.contentSize());",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_1180.cpp,75,"["" virginBody expected_ret""]","["" httpBuf contentSize_ret"", "" buf Printf_arg""]","[[""Printf""], [""appendf""]]"
477,4,squid-3.5.27_diff_squid-4.0.20,310,"auth_user_request->denyMessage(""Negotiate authentication requires a persistent connection"");","auth_user_request->setDenyMessage(""Negotiate authentication requires a persistent connection"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_1204.cpp,50,"[""assert_arg_ret"", null, null, null]",[],"[[""denyMessage""], [""setDenyMessage""]]"
