patch_file,old_file,new_file,patch_hunk_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_loc,new_loc,old_log,new_log,action_type,old_log_file,new_log_file,function,function_loc,edit_types,edit_words,edit_feature
squid-3.1.23_diff_squid-3.2.13,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.1.23/lib/rfc1035.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.2.13/lib/rfc1035.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_patch_hunk_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_old_hunk_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_new_hunk_5.cpp,18,18,807,845,"printf(""ERROR %d\n"", rfc1035_errno);","printf(""ERROR %d\n"", -n);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_old_log_0.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_new_log_0.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_0.cpp,62,"[""updateVariable"", ""addVariable""]","[[""rfc1035_errno""], [""n""]]",[8573910639375888055]
squid-3.1.23_diff_squid-3.2.13,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.1.23/lib/rfc3596.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.2.13/lib/rfc3596.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_patch_hunk_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_old_hunk_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_new_hunk_7.cpp,7,9,239,240,"fprintf(stderr, ""usage: %s [-6|-4] ip port\n"", argv[0]);","fprintf(stderr, ""usage: %s [-6|-4] [-E packet-size] ip port\n"", argv[0]);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_old_log_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_new_log_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_1.cpp,28,"[""updateContent""]","[[], [""["", ""E"", ""packet"", ""size]""]]",[-2071831193789203563]
squid-3.1.23_diff_squid-3.2.13,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.1.23/lib/rfc3596.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.2.13/lib/rfc3596.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_patch_hunk_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_old_hunk_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_new_hunk_7.cpp,-233,10,-1,241,,"fprintf(stderr, ""  EDNS packets my be up to %d\n"", PACKET_BUFSZ);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_old_log_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_new_log_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_2.cpp,33,"[""addLog""]","[[], [""fprintf"", ""stderr"", ""EDNS"", ""packets"", ""my"", ""be"", ""up"", ""to"", ""%d\\n"", ""PACKET_BUFSZ""]]",[-20515631127248683411]
squid-3.1.23_diff_squid-3.2.13,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.1.23/lib/rfc3596.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.2.13/lib/rfc3596.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_patch_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_old_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_new_hunk_8.cpp,19,19,336,336,"printf(""ERROR %d\n"", rfc1035_errno);","printf(""ERROR %d\n"", -n);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_old_log_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_new_log_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_3.cpp,337,"[""updateVariable"", ""addVariable""]","[[""rfc1035_errno""], [""n""]]",[8573910639375888055]
squid-3.1.23_diff_squid-3.2.13,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.1.23/lib/util.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.2.13/lib/util.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_patch_hunk_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_old_hunk_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_new_hunk_9.cpp,352,-31,383,-1,"fprintf(stderr, ""%c%8p size=%5d/%d acc=%5.0f/%.0f mallinfo=%5d/%d %s:%d %s"",
                sign > 0 ? '+' : '-', p,
                (int) xmalloc_total - last_total, (int) xmalloc_total,
                accounted - last_accounted, accounted,
                (int) mi - last_mallinfo, (int) mi,
                xmalloc_file, xmalloc_line, xmalloc_func);",,9,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_old_log_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_new_log_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_4.cpp,19,"[""removeLog""]","[[""fprintf"", ""stderr"", ""%c%8p"", ""size"", ""%5d/%d"", ""acc"", ""%5"", ""0f/%"", ""0f"", ""mallinfo"", ""%5d/%d"", ""%s"", ""%d"", ""%s"", ""sign"", ""0"", ""p"", ""int"", ""xmalloc_total"", ""last_total"", ""int"", ""xmalloc_total"", ""accounted"", ""last_accounted"", ""accounted"", ""int"", ""mi"", ""last_mallinfo"", ""int"", ""mi"", ""xmalloc_file"", ""xmalloc_line"", ""xmalloc_func""], []]",[106170182165829697514]
squid-3.1.23_diff_squid-3.2.13,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.1.23/lib/util.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.2.13/lib/util.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_patch_hunk_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_old_hunk_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_new_hunk_9.cpp,360,-31,391,-1,"fprintf(stderr, "" (%d %s:%d)\n"", malloc_number(p), malloc_file_name(p), malloc_line_number(p));",,9,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_old_log_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_new_log_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_5.cpp,27,"[""removeLog""]","[[""fprintf"", ""stderr"", ""%d"", ""%s"", ""%d"", ""\\n"", ""malloc_number"", ""p"", ""malloc_file_name"", ""p"", ""malloc_line_number"", ""p""], []]",[14674548379399223140]
squid-3.1.23_diff_squid-3.2.13,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.1.23/lib/util.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.2.13/lib/util.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_patch_hunk_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_old_hunk_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_new_hunk_9.cpp,362,-31,393,-1,"fprintf(stderr, "" %d\n"", xmalloc_count);",,9,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_old_log_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_new_log_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_6.cpp,29,"[""removeLog""]","[[""fprintf"", ""stderr"", ""%d\\n"", ""xmalloc_count""], []]",[9382290775761783620]
squid-3.1.23_diff_squid-3.2.13,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.1.23/lib/util.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.2.13/lib/util.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_patch_hunk_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_old_hunk_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_new_hunk_9.cpp,390,-31,421,-1,"fprintf(stderr, ""%*s%p %s:%d size %d allocation %d\n"",
                                depth, """",
                                malloc_ptrs[B][I], malloc_file[B][I],
                                malloc_line[B][I], malloc_size[B][I],
                                malloc_count[B][I]);",,9,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_old_log_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_new_log_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_7.cpp,18,"[""removeLog""]","[[""fprintf"", ""stderr"", ""%*s%p"", ""%s"", ""%d"", ""size"", ""%d"", ""allocation"", ""%d\\n"", ""depth"", ""malloc_ptrs[B][I]"", ""malloc_file[B][I]"", ""malloc_line[B][I]"", ""malloc_size[B][I]"", ""malloc_count[B][I]""], []]",[28946520347337305743]
squid-3.1.23_diff_squid-3.2.13,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.1.23/lib/util.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.2.13/lib/util.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_patch_hunk_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_old_hunk_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_new_hunk_9.cpp,400,-31,431,-1,"fprintf(stderr, ""=== %d bytes\n"", sum);",,9,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_old_log_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_new_log_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_8.cpp,28,"[""removeLog""]","[[""fprintf"", ""stderr"", ""%d"", ""bytes\\n"", ""sum""], []]",[14207206390608598951]
squid-3.1.23_diff_squid-3.2.13,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.1.23/lib/util.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.2.13/lib/util.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_patch_hunk_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_old_hunk_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_new_hunk_9.cpp,409,-31,440,-1,"fprintf(stderr, ""%*s%p %s:%d size %d allocation %d ... (%d)\n"",
                                depth * 2, """",
                                malloc_ptrs[B][I], malloc_file[B][I],
                                malloc_line[B][I], malloc_size[B][I],
                                malloc_count[B][I], malloc_refs[B][I]);",,9,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_old_log_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_new_log_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_9.cpp,37,"[""removeLog""]","[[""fprintf"", ""stderr"", ""%*s%p"", ""%s"", ""%d"", ""size"", ""%d"", ""allocation"", ""%d"", ""%d"", ""\\n"", ""depth"", ""*"", ""2"", ""malloc_ptrs[B][I]"", ""malloc_file[B][I]"", ""malloc_line[B][I]"", ""malloc_size[B][I]"", ""malloc_count[B][I]"", ""malloc_refs[B][I]""], []]",[30585478959801514631]
