class,class_size,check,variable
911,4,[null],"["" Current buf str_ret"", ""c_str_ret""]"
746,2,"[""fopen_ret"", ""strtok_arg""]",[null]
963,30,"[""fopen_ret"", ""strtok_arg""]",[]
964,28,"[""int""]",[]
0,1,"[""fopen_ret"", ""strtok_arg""]","[""strchr_arg_ret"", ""int"", ""strlen_arg_ret"", ""strtok_ret""]"
747,2,"[""int""]","[""strlen_arg_ret""]"
748,2,"[""int""]","[""int""]"
1,1,"[""int""]","[""char""]"
2,1,"[""parse_status_line_arg_ret""]","[""parse_status_line_ret"", ""parse_status_line_arg_ret""]"
3,1,"[""strcmp_ret""]",[null]
4,1,"[""strncasecmp_ret""]","[""strncmp_arg"", null]"
944,6,"[null, null]",[]
5,1,"[null, null]","[""reset_auth_arg_ret"", null, ""char""]"
6,1,"[""int""]","[""menu_url_ret"", ""menu_url_arg_ret"", null]"
7,1,"[""int""]","[""menu_url_ret""]"
857,3,"[""strncmp_ret""]",[null]
8,1,"[""strncmp_ret""]","[""munge_action_line_ret"", null]"
9,1,"[null, null, null, null]","[""MemBuf"", ""strncasecmp_arg"", null]"
10,1,"[""strncasecmp_ret"", ""strncasecmp_ret""]","[null, null]"
749,2,[null],"[null, null]"
11,1,"[""write_ret""]","[null, null, ""debug_arg""]"
12,1,"[""FILE""]","[""FILE"", ""cfgin_arg"", ""cfgin_arg""]"
13,1,"["" std ifstream""]","[""strerror_ret"", null, ""cfgin_arg_ret""]"
14,1,"[""FILE""]","[""FILE"", ""regcomp_arg""]"
15,1,"[""regcomp_ret""]","[null, ""regcomp_arg_ret"", ""sizeof_arg""]"
16,1,"[""FILE""]","[""FILE""]"
17,1,"[""regexec_ret"", null]","[null, ""regcomp_arg_ret"", ""strcmp_arg"", null]"
18,1,"[""FILE""]","[""FILE"", null, null, ""strcmp_arg"", null, null, null, ""strcmp_arg""]"
19,1,"[""FILE""]","[""FILE"", null, null, ""int"", ""strcmp_arg"", null, null, ""int"", null, ""strcmp_arg"", null, ""int"", ""strcmp_arg""]"
20,1,"[""FILE""]","[""FILE"", null, null, ""int"", ""xstrdup_arg"", null, null, ""int"", null, ""xstrdup_arg"", null, ""int"", ""xstrdup_arg""]"
750,3,"[""FILE""]","[""FILE"", null, null, ""int"", ""strtoul_arg"", null, null, ""int"", null, ""strtoul_arg"", null, ""int"", ""strtoul_arg""]"
21,1,"[""WIFEXITED_ret""]","[""WEXITSTATUS_ret"", null, null, ""waitpid_ret""]"
22,1,"[""WIFSIGNALED_ret""]","[""WTERMSIG_ret"", ""WCOREDUMP_ret"", null, null, ""waitpid_ret"", null]"
23,1,"[""WIFEXITED_ret""]","[null, null, ""waitpid_ret"", ""waitpid_arg_ret""]"
24,1,"[""bind_ret""]","[""my_sock_ntoa_ret"", ""strerror_ret"", null]"
25,1,"[""S_ISDIR_ret"", ""stat_ret""]","[null, ""stat_arg_ret""]"
26,1,"[""S_ISDIR_ret"", ""geteuid_ret"", ""getegid_ret"", ""stat_arg_ret"", null, ""stat_arg_ret"", null, null, ""stat_arg_ret"", null, ""stat_arg_ret"", null, null, ""stat_arg_ret"", null, null]","[null, ""stat_arg_ret""]"
27,1,"[""strerror_arg"", null]","[""strerror_ret"", null, ""stat_arg_ret""]"
28,1,"[""mkdir_ret""]","[""strerror_ret"", null, ""mkdir_arg_ret""]"
29,1,"[""mkdir_ret"", ""strerror_arg"", null]","[""strerror_ret"", null, ""mkdir_arg_ret""]"
30,1,"[""unsigned""]","[null, ""mkdir_arg_ret""]"
751,2,"[""open_ret""]","[""strerror_ret"", null, ""open_arg_ret""]"
31,1,"[""unsigned""]","[null, ""open_arg_ret""]"
32,1,"[""xlate_ret""]","[null, ""open_arg_ret""]"
33,1,"[""lseek_ret""]","[""strerror_ret"", null, ""open_arg_ret"", ""lseek_arg""]"
34,1,"[""lseek_ret""]","[""strerror_ret"", null, ""open_arg_ret"", null, null, ""mmap_arg"", ""mmap_arg""]"
35,1,"[""unsigned""]","[null, null, null, ""mmap_arg"", null, null, ""mmap_arg"", null, ""lseek_ret""]"
36,1,"[""regexec_ret"", ""regexec_ret"", null]","[null, null, ""regexec_arg_ret"", null]"
37,1,"["" meta search_ret"", ""SquidMetaList"", "" meta search_ret""]","[""char"", ""int"", ""long"", null, null, "" meta search_ret"", null]"
38,1,"["" meta search_ret"", ""SquidMetaList"", "" meta search_ret""]","[""char"", ""int"", ""long"", null, null]"
39,1,"[""connectTo_ret""]","[""strerror_ret"", null]"
40,1,"[""write_ret"", ""strlen_ret""]","[""strerror_ret"", null]"
41,1,"[""read_ret""]","[""strerror_ret"", null]"
42,1,"[""strtol_ret"", ""strtol_ret""]","[null, ""strtol_arg_ret""]"
752,2,"[""unlink_ret""]","[""strerror_ret"", null, ""unlink_arg_ret""]"
43,1,[null],"[null, ""open_arg""]"
44,1,"[""memcpy_arg_ret"", null, "" meta append_arg""]",[null]
45,1,"[""memcpy_arg_ret"", ""SquidMetaType_arg"", ""memcpy_arg_ret""]",[null]
46,1,"[""memcpy_arg_ret"", ""SquidMetaType_arg"", ""read_ret""]",[null]
47,1,"[""open_ret""]","[""strerror_ret"", null, ""unlink_arg_ret""]"
48,1,[null],"[null, ""opendir_arg""]"
753,2,"[""opendir_ret"", null]","[""strerror_ret"", null, ""opendir_arg_ret""]"
49,1,[null],"[null, ""bool"", ""opendir_arg""]"
50,1,"[""xstrdup_arg"", ""xstrdup_arg""]","[null, ""getopt_ret""]"
51,1,"[""strtoul_arg"", ""strtoul_arg""]","[null, ""getopt_ret""]"
52,1,"[""REList_arg"", ""REList_arg""]","[null, ""getopt_ret""]"
53,1,"[""fopen_arg"", ""fopen_arg""]","[null, ""getopt_ret""]"
54,1,"[""strlen_ret"", null]","[null, ""strchr_arg"", ""unsigned long""]"
55,1,"[""fopen_ret"", ""fopen_ret"", null]","[""strerror_ret"", null, ""strchr_arg""]"
56,1,"[""strchr_arg"", ""strchr_arg""]","[null, ""getopt_ret""]"
57,1,"[""convertHostname_ret""]","[null, ""convertHostname_arg""]"
58,1,"[""convertHostname_ret""]","[null, ""strtol_arg""]"
59,1,"[""convertPortname_ret""]","[null, ""convertPortname_arg_ret""]"
60,1,"[""strtol_arg"", ""strtol_arg""]","[null, ""getopt_ret""]"
754,2,"[""REList_ret""]",[null]
960,10,"[""int""]",[null]
972,36,[null],[null]
957,9,[null],[]
61,1,"[""int""]","[""assert_copydir_arg_ret"", ""assert_copydir_arg_ret""]"
62,1,"[""assert_copydir_arg_ret""]",[null]
63,1,"[""assert_copydir_arg_ret""]",[]
64,1,"[""int""]","[""assert_arg_ret""]"
65,1,"[""int""]","[""inet_ntoa_ret"", ""ntohs_ret""]"
66,1,"[""unsigned""]","[""unsigned""]"
67,1,"[""int""]","[""REList_ret"", null]"
68,1,"[""setvbuf_ret""]","[""strerror_ret"", null, ""char"", ""char""]"
69,1,"[""convertHostname_ret""]","[""makelinebuffered_arg"", null]"
70,1,"[""convertHostname_ret""]",[]
71,1,"[""dirlevel_ret""]","[""strerror_ret"", ""makelinebuffered_arg""]"
72,1,"[""dirlevel_ret""]","[""strerror_ret"", null]"
73,1,[null],"[null, "" cdv size_ret"", "" cdv begin_ret""]"
74,1,[null],"[null, ""waitpid_ret""]"
75,1,"[""readConfigFile_ret""]","[null, ""readConfigFile_arg_ret""]"
76,1,"[""getopt_ret""]","[null, ""getopt_arg_ret""]"
77,1,"[""fopen_ret""]","[""getenv_ret"", null, ""getopt_arg_ret"", ""getopt_arg_ret""]"
78,1,"[""hash_lookup_ret"", ""strtok_arg""]","[null, ""strtok_ret""]"
79,1,"[""strtok_ret""]","[null, ""strtok_ret"", null]"
