class,class_size,patch_file,old_loc,old_log,new_log,function,function_loc,check,variable,edit,file,function,calls,types,necessity
460,3,squid-3.4.14_diff_squid-3.5.26,-1,,"printf(""%u "", requestData->channelId);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_906.cpp,6,"[""GetHHA1_arg_ret"", null]","[""GetHHA1_arg_ret"", null]","[[], [""printf"", ""%u"", ""requestData"", ""channelId""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-4.0.21/src/auth/digest/eDirectory/digest_pw_auth.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_6010_last_repos.cpp,"[""GetHHA1"", ""SEND_ERR"", ""printf""]","[""RequestData"", ""void""]",accept-false-variable
460,3,squid-3.4.14_diff_squid-3.5.26,-1,,"printf(""%u "", requestData->channelId);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_906.cpp,6,"[""GetHHA1_arg_ret"", null]","[""GetHHA1_arg_ret"", null]","[[], [""printf"", ""%u"", ""requestData"", ""channelId""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-4.0.21/src/auth/digest/LDAP/digest_pw_auth.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_6032_last_repos.cpp,"[""GetHHA1"", ""SEND_ERR"", ""printf""]","[""RequestData"", ""void""]",accept-false-variable
460,3,squid-3.4.14_diff_squid-3.5.26,-1,,"printf(""%u "", requestData->channelId);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_906.cpp,6,"[""GetHHA1_arg_ret"", null]","[""GetHHA1_arg_ret"", null]","[[], [""printf"", ""%u"", ""requestData"", ""channelId""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-4.0.21/src/auth/digest/file/digest_file_auth.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_6038_last_repos.cpp,"[""GetHHA1"", ""SEND_ERR"", ""printf""]","[""RequestData"", ""void""]",accept-false-variable
461,3,squid-3.4.14_diff_squid-3.5.26,-1,,"printf(""%u "", requestData.channelId);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_907.cpp,7,"[""ParseBuffer_arg_ret"", null]","[""ParseBuffer_arg_ret"", null]","[[], [""printf"", ""%u"", ""requestData"", ""channelId""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-4.0.21/src/auth/digest/eDirectory/digest_pw_auth.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_6011_last_repos.cpp,"[""SEND_BH"", ""OutputHHA1"", ""ParseBuffer"", ""printf""]","[""char"", ""RequestData"", ""void""]",accept-false-variable
461,3,squid-3.4.14_diff_squid-3.5.26,-1,,"printf(""%u "", requestData.channelId);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_907.cpp,7,"[""ParseBuffer_arg_ret"", null]","[""ParseBuffer_arg_ret"", null]","[[], [""printf"", ""%u"", ""requestData"", ""channelId""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-4.0.21/src/auth/digest/LDAP/digest_pw_auth.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_6033_last_repos.cpp,"[""SEND_BH"", ""OutputHHA1"", ""ParseBuffer"", ""printf""]","[""char"", ""RequestData"", ""void""]",accept-false-variable
461,3,squid-3.4.14_diff_squid-3.5.26,-1,,"printf(""%u "", requestData.channelId);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_907.cpp,7,"[""ParseBuffer_arg_ret"", null]","[""ParseBuffer_arg_ret"", null]","[[], [""printf"", ""%u"", ""requestData"", ""channelId""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-4.0.21/src/auth/digest/file/digest_file_auth.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_6039_last_repos.cpp,"[""SEND_BH"", ""OutputHHA1"", ""ParseBuffer"", ""printf""]","[""char"", ""RequestData"", ""void""]",accept-false-variable
463,2,squid-3.4.14_diff_squid-3.5.26,-1,,"createError(""write"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_1035.cpp,53,"[""write_ret"", null]",[],"[[], [""createError"", ""write""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-4.0.21/tools/cachemgr.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_34_last_repos.cpp,"[""base64_decode_init"", ""safe_free"", ""safe_str"", ""sscanf"", ""base64_encode_update"", ""snprintf"", ""make_auth_header"", ""fread"", ""fclose"", ""atexit"", ""base64_encode_len"", ""fprintf"", ""connect"", ""xstrerr"", ""error_html"", ""close"", ""fopen"", ""strlen"", ""read_request"", ""strchr"", ""fnmatch"", ""process_request"", ""strtok"", ""base64_encode_final"", "" S port"", ""write"", ""xstrdup"", ""base64_decode_update"", ""_fileno"", ""strrchr"", ""getfullhostname"", ""strtoll"", ""base64_decode_final"", ""rfc1738_unescape"", ""BASE64_DECODE_LENGTH"", ""fgets"", ""read_post_request"", ""getenv"", ""assert"", ""gethostbyname"", ""atoi"", "" S toUrl"", "" Ip Address FreeAddr"", ""decode_pub_auth"", ""base64_encode_init"", ""strcasecmp"", ""read_get_request"", ""xcalloc"", ""make_pub_auth"", ""read_reply"", ""socket"", ""xfree"", "" S getAddrInfo"", ""check_target_acl"", ""auth_html"", "" S isAnyAddr"", ""Win32SockInit"", ""time"", ""debug"", ""_setmode"", ""xmalloc"", ""strcmp""]","["" Ip Address"", "" struct base64_encode_ctx"", ""uint8_t"", ""int"", ""cachemgr_request"", ""char"", ""size_t"", ""FILE"", "" struct addrinfo"", "" struct base64_decode_ctx"", ""uint64_t"", ""void""]",accpept-true
463,2,squid-3.4.14_diff_squid-3.5.26,-1,,"createError(""write"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_1035.cpp,53,"[""write_ret"", null]",[],"[[], [""createError"", ""write""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-4.0.21/tools/purge/copyout.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_83_last_repos.cpp,"[""strchr"", ""lseek"", ""BAUTZ"", ""strstr"", ""mmap"", ""perror"", ""read"", ""open"", ""write"", ""mkdir"", ""strcat"", ""munmap"", ""strerror"", ""assert"", ""strcpy"", ""fprintf"", ""xlate"", ""close"", ""strlen"", ""memcpy""]","[""int"", ""unsigned"", ""off_t"", ""char"", ""caddr_t"", ""bool"", ""size_t""]",accpept-true
463,2,squid-3.4.14_diff_squid-3.5.26,-1,,"createError(""write"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_1035.cpp,53,"[""write_ret"", null]",[],"[[], [""createError"", ""write""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-4.0.21/tools/purge/purge.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_89_last_repos.cpp,"[""connectTo"", ""strtol"", ""log_output"", ""snprintf"", ""read"", ""memset"", ""strerror"", ""long"", ""write"", ""fprintf"", ""log_extended"", ""copy_out"", ""close"", ""unlink"", ""strlen"", ""fstat""]","[""int"", ""int64_t"", ""long"", ""char"", ""SquidMetaList"", ""bool"", "" struct stat"", ""size_t"", ""unsigned long""]",accpept-true
463,2,squid-3.4.14_diff_squid-3.5.26,-1,,"createError(""write"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_1035.cpp,53,"[""write_ret"", null]",[],"[[], [""createError"", ""write""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-4.0.21/tools/purge/purge.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_91_last_repos.cpp,"[""assert"", ""isxstring"", ""strerror"", ""readdir"", ""write"", ""closedir"", ""opendir"", ""fprintf"", ""match"", ""concat""]","[""REList"", ""int"", ""char"", ""unsigned short"", ""bool"", ""dirent_t"", ""DIR""]",accpept-true
