class,class_size,patch_file,old_loc,old_log,new_log,function,function_loc,check,variable,edit,file,function,calls,types,necessity
460,3,squid-3.4.14_diff_squid-3.5.26,-1,,"printf(""%u "", requestData->channelId);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_906.cpp,6,"[""GetHHA1_arg_ret"", null]","[""GetHHA1_arg_ret"", null]","[[], [""printf"", ""%u"", ""requestData"", ""channelId""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.4.14/helpers/digest_auth/eDirectory/digest_pw_auth.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_476_squid-3.4.14.cpp,"[""GetHHA1"", ""SEND_ERR""]","[""RequestData"", ""void""]",accpept-true
460,3,squid-3.4.14_diff_squid-3.5.26,-1,,"printf(""%u "", requestData->channelId);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_906.cpp,6,"[""GetHHA1_arg_ret"", null]","[""GetHHA1_arg_ret"", null]","[[], [""printf"", ""%u"", ""requestData"", ""channelId""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.4.14/helpers/digest_auth/LDAP/digest_pw_auth.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_498_squid-3.4.14.cpp,"[""GetHHA1"", ""SEND_ERR""]","[""RequestData"", ""void""]",accpept-true
460,3,squid-3.4.14_diff_squid-3.5.26,-1,,"printf(""%u "", requestData->channelId);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_906.cpp,6,"[""GetHHA1_arg_ret"", null]","[""GetHHA1_arg_ret"", null]","[[], [""printf"", ""%u"", ""requestData"", ""channelId""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.4.14/helpers/digest_auth/file/digest_file_auth.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_504_squid-3.4.14.cpp,"[""GetHHA1"", ""SEND_ERR""]","[""RequestData"", ""void""]",accpept-true
461,3,squid-3.4.14_diff_squid-3.5.26,-1,,"printf(""%u "", requestData.channelId);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_907.cpp,7,"[""ParseBuffer_arg_ret"", null]","[""ParseBuffer_arg_ret"", null]","[[], [""printf"", ""%u"", ""requestData"", ""channelId""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.4.14/helpers/digest_auth/eDirectory/digest_pw_auth.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_477_squid-3.4.14.cpp,"[""SEND_BH"", ""ParseBuffer"", ""OutputHHA1""]","[""char"", ""RequestData"", ""void""]",accpept-true
461,3,squid-3.4.14_diff_squid-3.5.26,-1,,"printf(""%u "", requestData.channelId);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_907.cpp,7,"[""ParseBuffer_arg_ret"", null]","[""ParseBuffer_arg_ret"", null]","[[], [""printf"", ""%u"", ""requestData"", ""channelId""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.4.14/helpers/digest_auth/LDAP/digest_pw_auth.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_499_squid-3.4.14.cpp,"[""SEND_BH"", ""ParseBuffer"", ""OutputHHA1""]","[""char"", ""RequestData"", ""void""]",accpept-true
461,3,squid-3.4.14_diff_squid-3.5.26,-1,,"printf(""%u "", requestData.channelId);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_907.cpp,7,"[""ParseBuffer_arg_ret"", null]","[""ParseBuffer_arg_ret"", null]","[[], [""printf"", ""%u"", ""requestData"", ""channelId""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.4.14/helpers/digest_auth/file/digest_file_auth.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_505_squid-3.4.14.cpp,"[""SEND_BH"", ""ParseBuffer"", ""OutputHHA1""]","[""char"", ""RequestData"", ""void""]",accpept-true
463,2,squid-3.4.14_diff_squid-3.5.26,-1,,"createError(""write"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_1035.cpp,53,"[""write_ret"", null]",[],"[[], [""createError"", ""write""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.4.14/tools/cachemgr.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_32_squid-3.4.14.cpp,"[""safe_free"", ""safe_str"", ""sscanf"", ""snprintf"", ""make_auth_header"", ""fread"", ""fclose"", ""atexit"", ""base64_encode_len"", ""fprintf"", ""connect"", ""strtoll"", ""error_html"", ""close"", ""base64_decode_len"", ""strlen"", ""read_request"", ""strchr"", ""fnmatch"", ""fopen"", ""xstrerror"", ""process_request"", ""strtok"", "" S port"", ""write"", ""xstrdup"", ""_fileno"", ""strrchr"", "" Ip Address FreeAddrInfo"", ""getfullhostname"", ""rfc1738_unescape"", ""fgets"", ""read_post_request"", ""getenv"", ""assert"", ""gethostbyname"", ""atoi"", "" S toUrl"", ""decode_pub_auth"", ""strcasecmp"", ""read_get_request"", ""xcalloc"", ""make_pub_auth"", ""read_reply"", ""socket"", ""xfree"", ""base64_encode_str"", "" S getAddrInfo"", ""check_target_acl"", ""auth_html"", "" S isAnyAddr"", ""Win32SockInit"", ""time"", ""debug"", ""_setmode"", ""base64_decode"", ""xmalloc"", ""strcmp""]","["" Ip Address"", ""int"", ""cachemgr_request"", ""char"", ""size_t"", ""FILE"", "" struct addrinfo"", ""uint64_t"", ""void""]",accpept-true
463,2,squid-3.4.14_diff_squid-3.5.26,-1,,"createError(""write"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_1035.cpp,53,"[""write_ret"", null]",[],"[[], [""createError"", ""write""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.4.14/tools/squidclient.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_52_squid-3.4.14.cpp,"[""write"", ""alarm"", ""send""]","[""int"", ""size_t"", ""void"", ""ssize_t""]",accpept-true
463,2,squid-3.4.14_diff_squid-3.5.26,-1,,"createError(""write"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_1035.cpp,53,"[""write_ret"", null]",[],"[[], [""createError"", ""write""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.4.14/tools/purge/copyout.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_73_squid-3.4.14.cpp,"[""strchr"", ""lseek"", ""BAUTZ"", ""strstr"", ""mmap"", ""perror"", ""read"", ""open"", ""write"", ""mkdir"", ""strcat"", ""munmap"", ""strerror"", ""assert"", ""strcpy"", ""fprintf"", ""xlate"", ""close"", ""strlen"", ""memcpy""]","[""int"", ""unsigned"", ""off_t"", ""char"", ""caddr_t"", ""bool"", ""size_t""]",accpept-true
463,2,squid-3.4.14_diff_squid-3.5.26,-1,,"createError(""write"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_1035.cpp,53,"[""write_ret"", null]",[],"[[], [""createError"", ""write""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.4.14/tools/purge/purge.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_79_squid-3.4.14.cpp,"[""connectTo"", ""strtol"", ""log_output"", ""snprintf"", ""read"", ""memset"", ""strerror"", ""long"", ""write"", ""fprintf"", ""log_extended"", ""copy_out"", ""close"", ""unlink"", ""strlen"", ""fstat""]","[""int"", ""int64_t"", ""long"", ""char"", ""SquidMetaList"", ""bool"", "" struct stat"", ""size_t"", ""unsigned long""]",accpept-true
