class,class_size,patch_file,old_loc,old_log,new_log,function,function_loc,check,variable,edit,file,function,loc,log,check,variable,necessity
464,2,squid-3.4.14_diff_squid-3.5.26,77,"storeAppendPrintf(&e, ""Maximum entries: %9d\n"", limit);","storeAppendPrintf(&e, ""Maximum entries: %9d\n"", entryLimit);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_1074.cpp,9,[null],"["" stats dump_arg"", "" map entryLimit_ret""]","[[""limit""], [""entryLimit""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-4.0.21/src/MemStore.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_2709_last_repos.cpp,13,"storeAppendPrintf(&e, ""Maximum entries: %9d\n"", entryLimit)",[null],"["" stats dump_arg"", "" map entryLimit_ret""]",accept-false
479,6,squid-3.5.27_diff_squid-4.0.20,4247,"storeAppendPrintf(entry, ""%s combined"", log->filename);","storeAppendPrintf(entry, ""%s logformat=combined"", log->filename);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_1263.cpp,23,"[""CustomLog"", null, null, null, null]","[""dump_acl_list_arg"", ""CustomLog"", null]","[[], [""logformat""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-4.0.21/src/cache_cf.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_867_last_repos.cpp,24,"storeAppendPrintf(entry, ""%s logformat=combined"", log->filename)","[""CustomLog"", null, null, null, null]","[""dump_acl_list_arg"", ""CustomLog"", null]",accept-false
479,6,squid-3.5.27_diff_squid-4.0.20,4247,"storeAppendPrintf(entry, ""%s combined"", log->filename);","storeAppendPrintf(entry, ""%s logformat=combined"", log->filename);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_1263.cpp,23,"[""CustomLog"", null, null, null, null]","[""dump_acl_list_arg"", ""CustomLog"", null]","[[], [""logformat""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-4.0.21/src/cache_cf.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_867_last_repos.cpp,28,"storeAppendPrintf(entry, ""%s logformat=common"", log->filename)","[""CustomLog"", null, null, null, null]","[""dump_acl_list_arg"", ""CustomLog"", null]",accept-false
479,6,squid-3.5.27_diff_squid-4.0.20,4247,"storeAppendPrintf(entry, ""%s combined"", log->filename);","storeAppendPrintf(entry, ""%s logformat=combined"", log->filename);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_1263.cpp,23,"[""CustomLog"", null, null, null, null]","[""dump_acl_list_arg"", ""CustomLog"", null]","[[], [""logformat""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-4.0.21/src/cache_cf.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_867_last_repos.cpp,33,"storeAppendPrintf(entry, ""%s logformat=icap_squid"", log->filename)","[""CustomLog"", null, null, null, null]","[""dump_acl_list_arg"", ""CustomLog"", null]",accept-false
479,6,squid-3.5.27_diff_squid-4.0.20,4247,"storeAppendPrintf(entry, ""%s combined"", log->filename);","storeAppendPrintf(entry, ""%s logformat=combined"", log->filename);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_1263.cpp,23,"[""CustomLog"", null, null, null, null]","[""dump_acl_list_arg"", ""CustomLog"", null]","[[], [""logformat""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-4.0.21/src/cache_cf.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_867_last_repos.cpp,37,"storeAppendPrintf(entry, ""%s logformat=useragent"", log->filename)","[""CustomLog"", null, null, null, null]","[""dump_acl_list_arg"", ""CustomLog"", null]",accept-false
479,6,squid-3.5.27_diff_squid-4.0.20,4247,"storeAppendPrintf(entry, ""%s combined"", log->filename);","storeAppendPrintf(entry, ""%s logformat=combined"", log->filename);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_1263.cpp,23,"[""CustomLog"", null, null, null, null]","[""dump_acl_list_arg"", ""CustomLog"", null]","[[], [""logformat""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-4.0.21/src/cache_cf.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_867_last_repos.cpp,41,"storeAppendPrintf(entry, ""%s logformat=referrer"", log->filename)","[""CustomLog"", null, null, null, null]","[""dump_acl_list_arg"", ""CustomLog"", null]",accept-false
475,3,squid-3.5.27_diff_squid-4.0.20,906,"mb.Printf(""%s"", Config.errHtmlText);","mb.appendf(""%s"", Config.errHtmlText);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_1358.cpp,130,"[null, null]","[null, null]","[[""Printf""], [""appendf""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-4.0.21/src/acl/external/LDAP_group/ext_ldap_group_acl.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_4360_last_repos.cpp,196,"fprintf(stderr, ""Usage: "" PROGRAM_NAME "" -b basedn -f filter [options] ldap_server_name\n\n"")","[null, null]","[null, null]",reject
475,3,squid-3.5.27_diff_squid-4.0.20,906,"mb.Printf(""%s"", Config.errHtmlText);","mb.appendf(""%s"", Config.errHtmlText);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_1358.cpp,130,"[null, null]","[null, null]","[[""Printf""], [""appendf""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-4.0.21/src/acl/external/LDAP_group/ext_ldap_group_acl.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_4360_last_repos.cpp,209,"fprintf(stderr, ""\t-p port\t\t\tLDAP server port (defaults to %d)\n"", LDAP_PORT)","[null, null]","[null, null]",reject
475,3,squid-3.5.27_diff_squid-4.0.20,906,"mb.Printf(""%s"", Config.errHtmlText);","mb.appendf(""%s"", Config.errHtmlText);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_1358.cpp,130,"[null, null]","[null, null]","[[""Printf""], [""appendf""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-4.0.21/src/auth/basic/LDAP/basic_ldap_auth.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_5859_last_repos.cpp,145,"fprintf(stderr, ""TLS (-Z) is incompatible with version %d\n"",
                        version)","[null, null]","[null, null]",reject
475,3,squid-3.5.27_diff_squid-4.0.20,906,"mb.Printf(""%s"", Config.errHtmlText);","mb.appendf(""%s"", Config.errHtmlText);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_function_1358.cpp,130,"[null, null]","[null, null]","[[""Printf""], [""appendf""]]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-4.0.21/src/auth/digest/eDirectory/ldap_backend.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_5998_last_repos.cpp,144,"fprintf(stderr, ""TLS (-Z) is incompatible with version %d\n"",
                        version)","[null, null]","[null, null]",reject
