file,function,loc,log,check,variable
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.5.27/tools/stub_debug.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_15_squid-3.5.27.cpp,4,"_db_print(""%s\n"", Current->buf.str().c_str())",[null],"["" Current buf str_ret"", ""c_str_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.5.27/tools/cachemgr.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_23_squid-3.5.27.cpp,18,"printf(""X-Error: message=\""Unable to open config %s\"""", DEFAULT_CACHEMGR_CONFIG)","[""fopen_ret"", ""strtok_arg""]",[null]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.5.27/tools/cachemgr.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_23_squid-3.5.27.cpp,20,"printf(""Content-Type: text/html\r\n\r\n"")","[""fopen_ret"", ""strtok_arg""]",[]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.5.27/tools/cachemgr.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_23_squid-3.5.27.cpp,22,"printf(""<!DOCTYPE HTML PUBLIC \""-//W3C//DTD HTML 4.01 Transitional//EN\"" \""http://www.w3.org/TR/html4/loose.dtd\"">\n"")","[""fopen_ret"", ""strtok_arg""]",[]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.5.27/tools/cachemgr.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_23_squid-3.5.27.cpp,24,"printf(""<HTML><HEAD><TITLE>Cache Manager Interface</TITLE>\n"")","[""fopen_ret"", ""strtok_arg""]",[]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.5.27/tools/cachemgr.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_23_squid-3.5.27.cpp,26,"printf(""<STYLE type=\""text/css\""><!--BODY{background-color:#ffffff;font-family:verdana,sans-serif}--></STYLE>\n"")","[""fopen_ret"", ""strtok_arg""]",[]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.5.27/tools/cachemgr.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_23_squid-3.5.27.cpp,28,"printf(""<script type=\""text/javascript\"">\n"")","[""fopen_ret"", ""strtok_arg""]",[]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.5.27/tools/cachemgr.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_23_squid-3.5.27.cpp,29,"printf(""function TS(t, s) {\n"")","[""fopen_ret"", ""strtok_arg""]",[]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.5.27/tools/cachemgr.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_23_squid-3.5.27.cpp,30,"printf("" var x = new XMLHttpRequest();\n"")","[""fopen_ret"", ""strtok_arg""]",[]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/repos/squid-3.5.27/tools/cachemgr.cc,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/squid/gumtree/squid_repos_function_23_squid-3.5.27.cpp,31,"printf("" x.open('GET', 'http' + s + '://' + t + '/squid-internal-mgr/', true);\n"")","[""fopen_ret"", ""strtok_arg""]",[]
