commit_sha,commit_message,file_name,change_type,log_statement,log_loc,old_store_name,new_store_name
52e289af952cb2d1d6cb5a5b047fb99ca3bfa318,[ASTPrinter] Synthesize protocol extensions introduced by extensions' local conformances. rdar://28725923 (#8632),lib/AST/ASTPrinter.cpp,+,"if (shouldPrint(E, Options)) {",342,/data/download/swift/apple_swift0_old.cpp,/data/download/swift/apple_swift0_new.cpp
52e289af952cb2d1d6cb5a5b047fb99ca3bfa318,[ASTPrinter] Synthesize protocol extensions introduced by extensions' local conformances. rdar://28725923 (#8632),lib/AST/ASTPrinter.cpp,-,"if (!shouldPrint(E, Options))",348,/data/download/swift/apple_swift0_old.cpp,/data/download/swift/apple_swift0_new.cpp
52e289af952cb2d1d6cb5a5b047fb99ca3bfa318,[ASTPrinter] Synthesize protocol extensions introduced by extensions' local conformances. rdar://28725923 (#8632),lib/AST/ASTPrinter.cpp,-,"if (!shouldPrint(E, Options))",364,/data/download/swift/apple_swift0_old.cpp,/data/download/swift/apple_swift0_new.cpp
0fab50ea833397041dc12ac4115ba83c34213297,Merge pull request #8634 from DougGregor/gsb-unresolved-vs-direct,lib/AST/GenericSignatureBuilder.cpp,+,"assert(constraintType && ""Missing constraint type?"");",2457,/data/download/swift/apple_swift1_old.cpp,/data/download/swift/apple_swift1_new.cpp
0fab50ea833397041dc12ac4115ba83c34213297,Merge pull request #8634 from DougGregor/gsb-unresolved-vs-direct,lib/AST/GenericSignatureBuilder.cpp,+,if (source.getLoc().isValid() && !constraintType->hasError()) {,2460,/data/download/swift/apple_swift1_old.cpp,/data/download/swift/apple_swift1_new.cpp
0fab50ea833397041dc12ac4115ba83c34213297,Merge pull request #8634 from DougGregor/gsb-unresolved-vs-direct,lib/AST/GenericSignatureBuilder.cpp,+,"assert(subjectPA && ""No potential archetype?"");",2504,/data/download/swift/apple_swift1_old.cpp,/data/download/swift/apple_swift1_new.cpp
0fab50ea833397041dc12ac4115ba83c34213297,Merge pull request #8634 from DougGregor/gsb-unresolved-vs-direct,lib/AST/GenericSignatureBuilder.cpp,-,assert(req.getSecondType()->getClassOrBoundGenericClass());,2819,/data/download/swift/apple_swift1_old.cpp,/data/download/swift/apple_swift1_new.cpp
c522bb52393cdd730284a84b0ce91ebdc10886dd,"[GSB] Separate out ""unresolved"" and ""direct"" type requirement handling.

As we've done with layout requirements, introduce a new entry point
(addTypeRequirement) that handles unresolved type requirements of the
form `T: U`, resolves the types, and then can

1. Diagnose any immediate problems with the types,
2. Delay the type requirement if one of the types cannot be resolved,
or
3. Break it into one or more ""direct"" requirements.

This allows us to clean up and centralize a bunch of checking that was
scattered/duplicated across the GSB and type checker.",lib/AST/GenericSignatureBuilder.cpp,+,"assert(constraintType && ""Missing constraint type?"");",2457,/data/download/swift/apple_swift2_old.cpp,/data/download/swift/apple_swift2_new.cpp
c522bb52393cdd730284a84b0ce91ebdc10886dd,"[GSB] Separate out ""unresolved"" and ""direct"" type requirement handling.

As we've done with layout requirements, introduce a new entry point
(addTypeRequirement) that handles unresolved type requirements of the
form `T: U`, resolves the types, and then can

1. Diagnose any immediate problems with the types,
2. Delay the type requirement if one of the types cannot be resolved,
or
3. Break it into one or more ""direct"" requirements.

This allows us to clean up and centralize a bunch of checking that was
scattered/duplicated across the GSB and type checker.",lib/AST/GenericSignatureBuilder.cpp,+,if (source.getLoc().isValid() && !constraintType->hasError()) {,2460,/data/download/swift/apple_swift2_old.cpp,/data/download/swift/apple_swift2_new.cpp
c522bb52393cdd730284a84b0ce91ebdc10886dd,"[GSB] Separate out ""unresolved"" and ""direct"" type requirement handling.

As we've done with layout requirements, introduce a new entry point
(addTypeRequirement) that handles unresolved type requirements of the
form `T: U`, resolves the types, and then can

1. Diagnose any immediate problems with the types,
2. Delay the type requirement if one of the types cannot be resolved,
or
3. Break it into one or more ""direct"" requirements.

This allows us to clean up and centralize a bunch of checking that was
scattered/duplicated across the GSB and type checker.",lib/AST/GenericSignatureBuilder.cpp,+,"assert(subjectPA && ""No potential archetype?"");",2504,/data/download/swift/apple_swift2_old.cpp,/data/download/swift/apple_swift2_new.cpp
