commit_sha,commit_message,file_name,change_type,log_statement,log_loc,store_name
3cbd42ec420605aac92cdf6817ea9ec1e9410ebd,SERVER-27972 Add a featureCompatibilityVersion op observer for database/collection drop,src/mongo/db/commands/feature_compatibility_version.cpp,+,"log() << ""setting featureCompatibilityVersion to """,357,download/mongodb_mongo1.cpp
0d408153594e2e2366e0729397ca2890f00b026c,SERVER-27768 Implement HMAC key for signing Logical clock's storage & distribution,src/mongo/db/logical_time.cpp,+,DataView(reinterpret_cast<char*>(output.data())).write(LittleEndian<uint64_t>{_time});,58,download/mongodb_mongo2.cpp
0d408153594e2e2366e0729397ca2890f00b026c,SERVER-27768 Implement HMAC key for signing Logical clock's storage & distribution,src/mongo/db/time_proof_service.cpp,+,"return fassertStatusOK(40384,",46,download/mongodb_mongo3.cpp
8c173ff0776c2c4ab1698a26aee2d087f973a3de,SERVER-28173 create a component that sends requests in parallel to multiple hosts over ASIO,src/mongo/s/async_requests_sender.cpp,+,uassertStatusOK(metadata.writeToMetadata(&metadataBuilder));,72,download/mongodb_mongo4.cpp
8c173ff0776c2c4ab1698a26aee2d087f973a3de,SERVER-28173 create a component that sends requests in parallel to multiple hosts over ASIO,src/mongo/s/async_requests_sender.cpp,+,"if (shard->isRetriableError(status.code(), Shard::RetryPolicy::kIdempotent) && !_stopRetrying &&",253,download/mongodb_mongo4.cpp
8c173ff0776c2c4ab1698a26aee2d087f973a3de,SERVER-28173 create a component that sends requests in parallel to multiple hosts over ASIO,src/mongo/s/async_requests_sender.cpp,+,"LOG(1) << ""Command to remote "" << remote.shardId << "" at host "" << *remote.shardHostAndPort",255,download/mongodb_mongo4.cpp
6753fb211150d85eed71a84393bd13f2a07a8865,SERVER-18410: Replace RWLock with OperationContext/LockManager,src/mongo/db/storage/mmap_v1/dur_journal_writer.cpp,-,"void WRITETODATAFILES(const JSectHeader& h, const AlignedBuilder& uncompressed) {",59,download/mongodb_mongo5.cpp
6753fb211150d85eed71a84393bd13f2a07a8865,SERVER-18410: Replace RWLock with OperationContext/LockManager,src/mongo/db/storage/mmap_v1/dur_journal_writer.cpp,+,"void WRITETODATAFILES(OperationContext* txn,",59,download/mongodb_mongo5.cpp
6753fb211150d85eed71a84393bd13f2a07a8865,SERVER-18410: Replace RWLock with OperationContext/LockManager,src/mongo/db/storage/mmap_v1/dur_journal_writer.cpp,-,"WRITETODATAFILES(buffer->_header, buffer->_builder);",249,download/mongodb_mongo5.cpp
6753fb211150d85eed71a84393bd13f2a07a8865,SERVER-18410: Replace RWLock with OperationContext/LockManager,src/mongo/db/storage/mmap_v1/dur_journal_writer.cpp,+,"WRITETODATAFILES(cc().makeOperationContext().get(), buffer->_header, buffer->_builder);",249,download/mongodb_mongo5.cpp
6753fb211150d85eed71a84393bd13f2a07a8865,SERVER-18410: Replace RWLock with OperationContext/LockManager,src/mongo/db/storage/mmap_v1/dur_recover.cpp,-,LockMongoFilesShared::assertAtLeastReadLocked();,293,download/mongodb_mongo6.cpp
