identity,file,location,condition_feature,statement_feature,vector
"(31284, '')",[u'/data/download/CMake/cmake-master/cmake-master/Source/LexerParser/cmListFileLexer.c'],,[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"(59737, u'True')",[u'/data/download/CMake/cmake-master/cmake-master/Source/cmsys/SharedForward.h'],657:10:20692:20695,[u'Identifier'],"[u'IdentifierDeclType', u'Identifier', u'Identifier', u'IdentifierDecl', u'Identifier', u'Callee', u'Identifier', u'Argument', u'ArgumentList', u'CallExpression', u'Identifier', u'Callee', u'Identifier', u'Argument', u'PrimaryExpression', u'Argument', u'Identifier', u'Argument', u'Identifier', u'Argument', u'Identifier', u'Argument', u'ArgumentList', u'CallExpression']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
"(60013, u'True')",[u'/data/download/CMake/cmake-master/cmake-master/Source/cmsys/SharedForward.h'],696:6:22006:22062,"[u'UnaryOperator', u'Identifier', u'Callee', u'Identifier', u'Argument', u'Identifier', u'Argument', u'ArgumentList', u'CallExpression', u'UnaryOp']","[u'PrimaryExpression', u'Identifier', u'Callee', u'Identifier', u'Argument', u'ArgumentList', u'CallExpression', u'IdentifierDeclType', u'Identifier', u'Identifier', u'IdentifierDecl', u'Condition', u'IdentifierDeclType', u'Identifier', u'IdentifierDecl', u'Identifier', u'Identifier', u'AssignmentExpr', u'Identifier', u'Callee', u'Identifier', u'Argument', u'PrimaryExpression', u'Argument', u'Identifier', u'Argument', u'Identifier', u'Argument', u'ArgumentList', u'CallExpression']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 11, 0, 0, 2, 0, 0, 0, 0, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2]"
"(60378, u'False')",[u'/data/download/CMake/cmake-master/cmake-master/Source/cmsys/SharedForward.h'],783:6:24881:24930,"[u'Identifier', u'Callee', u'Identifier', u'PrimaryExpression', u'ArrayIndexing', u'Argument', u'Identifier', u'Argument', u'ArgumentList', u'CallExpression']","[u'CastTarget', u'Identifier', u'CastExpression', u'PrimaryExpression', u'Identifier', u'Callee', u'Identifier', u'Argument', u'PrimaryExpression', u'Argument', u'Identifier', u'PrimaryExpression', u'ArrayIndexing', u'Argument', u'ArgumentList', u'CallExpression']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 4, 1, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"(60247, u'True')",[u'/data/download/CMake/cmake-master/cmake-master/Source/cmsys/SharedForward.h'],818:10:26270:26346,"[u'Identifier', u'PrimaryExpression', u'RelationalExpression', u'Identifier', u'Callee', u'Identifier', u'PrimaryExpression', u'ArrayIndexing', u'Argument', u'Identifier', u'Argument', u'ArgumentList', u'CallExpression', u'PrimaryExpression', u'EqualityExpression', u'AndExpression']","[u'Identifier', u'Callee', u'Identifier', u'Argument', u'PrimaryExpression', u'Argument', u'Identifier', u'Argument', u'ArgumentList', u'CallExpression', u'Identifier', u'Callee', u'Identifier', u'Argument', u'PrimaryExpression', u'Argument', u'Identifier', u'Argument', u'ArgumentList', u'CallExpression', u'PrimaryExpression']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 1, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
"(86943, u'True')",[u'/data/download/CMake/cmake-master/cmake-master/Source/kwsys/Terminal.c'],296:6:11506:11547,"[u'Identifier', u'Identifier', u'BitAndExpression']","[u'Identifier', u'Callee', u'Identifier', u'Argument', u'Identifier', u'Argument', u'ArgumentList', u'CallExpression']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"(87045, u'case kwsysTerminal_Color_BackgroundWhite')",[u'/data/download/CMake/cmake-master/cmake-master/Source/kwsys/Terminal.c'],270:10:10484:10525,"[u'Identifier', u'Identifier', u'BitAndExpression']","[u'Identifier', u'Callee', u'Identifier', u'Argument', u'Identifier', u'Argument', u'ArgumentList', u'CallExpression', u'Identifier']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"(87045, u'case kwsysTerminal_Color_BackgroundCyan')",[u'/data/download/CMake/cmake-master/cmake-master/Source/kwsys/Terminal.c'],270:10:10484:10525,"[u'Identifier', u'Identifier', u'BitAndExpression']","[u'Identifier', u'Identifier', u'Callee', u'Identifier', u'Argument', u'Identifier', u'Argument', u'ArgumentList', u'CallExpression']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"(87045, u'case kwsysTerminal_Color_BackgroundMagenta')",[u'/data/download/CMake/cmake-master/cmake-master/Source/kwsys/Terminal.c'],270:10:10484:10525,"[u'Identifier', u'Identifier', u'BitAndExpression']","[u'Identifier', u'Callee', u'Identifier', u'Argument', u'Identifier', u'Argument', u'ArgumentList', u'CallExpression', u'Identifier']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"(87045, u'case kwsysTerminal_Color_BackgroundBlue')",[u'/data/download/CMake/cmake-master/cmake-master/Source/kwsys/Terminal.c'],270:10:10484:10525,"[u'Identifier', u'Identifier', u'BitAndExpression']","[u'Identifier', u'Identifier', u'Callee', u'Identifier', u'Argument', u'Identifier', u'Argument', u'ArgumentList', u'CallExpression']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
