log statement,constant text
parser.printMessage();
"if( !face_cascade.load( face_cascade_name ) ){ printf(""--(!)Error loading face cascade\n""); return -1; };","""--(!)Error loading face cascade\n"""
"if( !eyes_cascade.load( eyes_cascade_name ) ){ printf(""--(!)Error loading eyes cascade\n""); return -1; };","""--(!)Error loading eyes cascade\n"""
"if ( ! capture.isOpened() ) { printf(""--(!)Error opening video capture\n""); return -1; }","""--(!)Error opening video capture\n"""
"printf("" --(!) No captured frame -- Break!"");",""" --(!) No captured frame -- Break!"""
parser.printMessage();
"if( !face_cascade.load( face_cascade_name ) ){ printf(""--(!)Error loading face cascade\n""); return -1; };","""--(!)Error loading face cascade\n"""
"if( !eyes_cascade.load( eyes_cascade_name ) ){ printf(""--(!)Error loading eyes cascade\n""); return -1; };","""--(!)Error loading eyes cascade\n"""
"if ( ! capture.isOpened() ) { printf(""--(!)Error opening video capture\n""); return -1; }","""--(!)Error opening video capture\n"""
"printf("" --(!) No captured frame -- Break!"");",""" --(!) No captured frame -- Break!"""
"ASSERT_EQ(0, countNonZero(dst1 != dst2));"
"ASSERT_EQ(0, countNonZero(dst1 != dst2));"
"ASSERT_EQ(centers.rows, K);"
"ASSERT_EQ(labels.rows, N);"
CV_Assert(0 <= l && l < K);
"ASSERT_GE(l, 0);"
"ASSERT_LT(l, K);"
CV_Assert( hist.at<int>(i) != 0 );
"ASSERT_GT(hist.at<int>(i), 0);"
"ASSERT_EQ(centers.rows, K);"
"ASSERT_EQ(labels.rows, N);"
CV_Assert(0 <= l && l < K);
"ASSERT_GE(l, 0);"
"ASSERT_LT(l, K);"
CV_Assert( hist.at<int>(i) != 0 );
"ASSERT_GT(hist.at<int>(i), 0);"
CV_Assert( _disp.type() == CV_16S || _disp.type() == CV_32S );
CV_Assert( _disp.type() == CV_16S || _disp.type() == CV_32S );
"imwrite(""Mandelbrot_parallel.png"", mandelbrotImg);","""Mandelbrot_parallel.png"""
"imwrite(""Mandelbrot_sequential.png"", mandelbrotImgSequential);","""Mandelbrot_sequential.png"""
"imwrite(""Mandelbrot_parallel.png"", mandelbrotImg);","""Mandelbrot_parallel.png"""
"imwrite(""Mandelbrot_sequential.png"", mandelbrotImgSequential);","""Mandelbrot_sequential.png"""
CV_Assert(gamma_ >= 0);
"imwrite(""linear_transform_correction.png"", img_corrected);","""linear_transform_correction.png"""
"imwrite(""gamma_correction.png"", img_gamma_corrected);","""gamma_correction.png"""
CV_Assert(gamma_ >= 0);
"imwrite(""linear_transform_correction.png"", img_corrected);","""linear_transform_correction.png"""
"imwrite(""gamma_correction.png"", img_gamma_corrected);","""gamma_correction.png"""
"morphologyEx(input_image, output_image, MORPH_HITMISS, kernel);"
"morphologyEx(input_image, output_image, MORPH_HITMISS, kernel);"
PRINT_HALERR_MSG(runtime);                                                                                  \
PRINT_HALERR_MSG(wrapper);                                                                                  \
PRINT_HALERR_MSG(runtime);
PRINT_HALERR_MSG(wrapper);
PRINT_HALERR_MSG(runtime);
PRINT_HALERR_MSG(wrapper);
PRINT_HALERR_MSG(runtime);
PRINT_HALERR_MSG(wrapper);
PRINT_HALERR_MSG(runtime);
PRINT_HALERR_MSG(wrapper);
PRINT_HALERR_MSG(runtime);
PRINT_HALERR_MSG(wrapper);
PRINT_HALERR_MSG(runtime);
PRINT_HALERR_MSG(wrapper);
"throw ivx::WrapperError(""Bad HAL context"");","""Bad HAL context"""
PRINT_HALERR_MSG(runtime);
PRINT_HALERR_MSG(wrapper);
PRINT_HALERR_MSG(runtime);
PRINT_HALERR_MSG(wrapper);
PRINT_HALERR_MSG(runtime);
PRINT_HALERR_MSG(wrapper);
PRINT_HALERR_MSG(runtime);
PRINT_HALERR_MSG(wrapper);
"throw ivx::WrapperError(""UV planes use variable stride"");","""UV planes use variable stride"""
PRINT_HALERR_MSG(runtime);
PRINT_HALERR_MSG(wrapper);
"throw ivx::WrapperError(""UV planes use variable stride"");","""UV planes use variable stride"""
PRINT_HALERR_MSG(runtime);
PRINT_HALERR_MSG(wrapper);
PRINT_HALERR_MSG(runtime);
PRINT_HALERR_MSG(wrapper);
