log statement,constant text
"log() << ""setting featureCompatibilityVersion to ""","""setting featureCompatibilityVersion to """
"return fassertStatusOK(40384,"
"void WRITETODATAFILES(const JSectHeader& h, const AlignedBuilder& uncompressed) {"
"void WRITETODATAFILES(OperationContext* txn,"
"WRITETODATAFILES(buffer->_header, buffer->_builder);"
"WRITETODATAFILES(cc().makeOperationContext().get(), buffer->_header, buffer->_builder);"
LockMongoFilesShared::assertAtLeastReadLocked();
"error() << ""exception in ~DurableMappedFile"";","""exception in ~DurableMappedFile"""
"error() << ""exception in DurableMappedFile::close"";","""exception in DurableMappedFile::close"""
LockMongoFilesShared::assertExclusivelyLocked();
LockMongoFilesShared::assertExclusivelyLocked(txn);
void printMemInfo(const char* where) {
LogstreamBuilder out = log();
void printMemInfo() {
LogstreamBuilder out = log();
"LOG(Z) << mongo::curTimeMillis64() % 10000 << "" 1x"" << endl;",""" 1x"""
"LOG(Z) << mongo::curTimeMillis64() % 10000 << "" 2"" << endl;",""" 2"""
"LOG(Z) << mongo::curTimeMillis64() % 10000 << "" 2x"" << endl;",""" 2x"""
"LOG(Z) << mongo::curTimeMillis64() % 10000 << "" 3"" << endl;",""" 3"""
"LOG(Z) << mongo::curTimeMillis64() % 10000 << "" 3x"" << endl;",""" 3x"""
LOG(Z) << t.millis() << endl;
ASSERT(t.millis() > 50);
"std::tie(cmdObj, queryFlags) = uassertStatusOK("
"void registerErrorImpl(OperationContext* txn, const DBException& exception) {}"
Command::registerRegisterError(registerErrorImpl);
bool supportsWriteConcern = c->supportsWriteConcern(cmdObj);
const auto oldWC = txn->getWriteConcern();
ON_BLOCK_EXIT([&] { txn->setWriteConcern(oldWC); });
txn->setWriteConcern(wcResult.getValue());
bool supportsWriteConcern = c->supportsWriteConcern(cmdObj);
const auto oldWC = txn->getWriteConcern();
ON_BLOCK_EXIT([&] { txn->setWriteConcern(oldWC); });
txn->setWriteConcern(wcResult.getValue());
"std::tie(cmdObj, queryFlags) = uassertStatusOK("
"void registerErrorImpl(OperationContext* txn, const DBException& exception) {}"
Command::registerRegisterError(registerErrorImpl);
"log() << ""warning flushMyDirectory couldn't find parent dir for file: "" << file.string();","""warning flushMyDirectory couldn't find parent dir for file: """
"log() << ""\t\t\thttp://dochub.mongodb.org/core/unsupported-filesystems""","""\t\t\thttp://dochub.mongodb.org/core/unsupported-filesystems"""
"massert(40385,"
"log() << ""warning flushMyDirectory couldn't find parent dir for file: "" << file.string();","""warning flushMyDirectory couldn't find parent dir for file: """
"LOG(1) << ""flushing directory "" << dir.string();","""flushing directory """
"massert(40384,"
"log() << ""\tWARNING: This file system is not supported. For further information""","""\tWARNING: This file system is not supported. For further information"""
"log() << ""\t\t\thttp://dochub.mongodb.org/core/unsupported-filesystems""","""\t\t\thttp://dochub.mongodb.org/core/unsupported-filesystems"""
"log() << ""\t\tPlease notify MongoDB, Inc. if an unlisted filesystem generated ""","""\t\tPlease notify MongoDB, Inc. if an unlisted filesystem generated """
"massert(40385,"
"log() << ""reloading collection metadata for "" << ns << "" with new epoch """,""" with new epoch """
status = _writeNewChunksIfPrimary(
"Status MetadataLoader::_writeNewChunksIfPrimary(OperationContext* txn,"
!repl::ReplicationCoordinator::get(txn)->canAcceptWritesForDatabase(
"configShard->runBatchWriteCommand(txn, batchRequest, Shard::RetryPolicy::kNotIdempotent);"
*batchResponse = configShard->runBatchWriteCommandOnConfig(
"configShard->runBatchWriteCommand(txn, request, Shard::RetryPolicy::kNoRetry);"
"configShard->runBatchWriteCommandOnConfig(txn, request, Shard::RetryPolicy::kNoRetry);"
"configShard->runBatchWriteCommand(txn, request, Shard::RetryPolicy::kIdempotent);"
"configShard->runBatchWriteCommandOnConfig(txn, request, Shard::RetryPolicy::kIdempotent);"
"configShard->runBatchWriteCommand(txn, request, Shard::RetryPolicy::kIdempotent);"
"configShard->runBatchWriteCommandOnConfig(txn, request, Shard::RetryPolicy::kIdempotent);"
"BatchedCommandResponse Shard::runBatchWriteCommand(OperationContext* txn,"
BatchedCommandResponse Shard::runBatchWriteCommandOnConfig(
"void Command::generateErrorResponse(OperationContext* txn,"
operationTime = LogicalTime(
"Command::generateErrorResponse(txn, replyBuilder, e, request, command, metadataBob.done());"
Command::generateErrorResponse(
"log() << ""Blacklisting "" << syncTarget << "" due to error: '"" << status << ""' for ""","""' for """
dassert(_uncommittedRecordIds.empty() || _uncommittedRecordIds.back() < id);
PRINT(c->nextSafe());
log() << c->nextSafe();
PRINT(typeid(comp).name());
PRINT(lhs.first);
PRINT(lhs.second);
PRINT(rhs.first);
PRINT(rhs.second);
"PRINT(comp(lhs, rhs));"
"PRINT(comp(rhs, lhs));"
dassert(false);
"log() << ""Replication producer stopped after oplog fetcher finished returning a batch from ""","""Replication producer stopped after oplog fetcher finished returning a batch from """
"massert(16235, ""going to start syncing, but buffer is not empty"", _oplogBuffer->isEmpty());","""going to start syncing, but buffer is not empty"""
"LOG(2) << ""Stopping oplog fetcher due to shutdown."";","""Stopping oplog fetcher due to shutdown."""
"LOG(2) << ""Stopping oplog fetcher because we are waiting for the applier to drain."";","""Stopping oplog fetcher because we are waiting for the applier to drain."""
"LOG(2) << ""Stopping oplog fetcher because we are primary."";","""Stopping oplog fetcher because we are primary."""
